PH,AP,SOC,TN,TP,Population,age010,age6580,Temperature,Precipitation,DEM,Road,GDP,NDVI,Longitude,Latitude,Tetracyclines
7.22,0.0291,7.05,4.701,1.063,14677,8.121792795,11.88727841,15.9736,893.0406,1910,4.872499,69381,166,102.703396,25.050911,0.657566482
6.73,0.0747,5.41,3.637,1.921,14677,8.121793316,11.88727908,16.02715,892.2899,1911,4.872499,69381,92,102.705754,25.051579,0.581595074
7.26,0.0215,2.35,1.903,0.964,44795,9.567702139,10.95185507,16.31651,894.6596,1912,10.18728,27679,97,102.716312,25.041378,0.302877759
7.86,0.036,1.21,1.144,0.797,57670,9.567701947,10.95185648,16.31651,894.6596,1912,10.18728,27679,123,102.720067,25.041428,0.246362166
5.9,0.484,3.83,4.172,2.371,39633,8.121793459,11.88727924,16.2176,894.1016,1910,10.74434,77029,152,102.704722,25.047008,9.170156625
7.54,0.017,1.04,0.982,0.968,39633,8.121793658,11.88727875,16.2176,894.1016,1910,10.74434,77029,141,102.706144,25.045001,78.31044503
6.91,0.282,8.12,5.954,2.988,49612,9.858822147,9.756158721,16.08189,897.2512,1903,7.516053,24351,145,102.70054,25.03377,15.84208276
7.95,0.0314,1.36,1.019,1.049,44795,9.858821904,9.756159233,16.28908,895.8161,1908,6.956258,25485,161,102.710376,25.036777,3.781752594
7.5,0.0966,4.19,2.841,1.492,17875,9.858821016,9.756158302,16.14297,894.0725,1913,6.773233,45390,138,102.73521,25.017611,1.869658513
8.03,0.0185,1.49,1.331,0.652,18131,9.858818683,9.756160873,16.13119,892.2717,1914,4.887581,41482,153,102.749384,25.012904,0.340946792
7.93,0.0373,1.99,1.778,0.793,16395,9.858820179,9.75615771,16.20051,892.7394,1914,7.930484,41357,157,102.74437,25.019304,0.311464679
8.73,0.0769,0.88,0.752,0.707,1610,9.85882068,9.756157878,15.87101,889.749,1896,7.107173,39540,85,102.740937,24.998205,0.807790675
7.53,0.0204,1.45,1.473,0.632,15070,9.858822275,9.756154637,16.13119,892.2717,1915,3.595527,41482,164,102.751551,25.009598,0.370223975
8.03,0.0218,0.98,0.87,0.824,1039,9.858821822,9.756158751,15.99451,891.8237,1920,6.970896,43622,153,102.764571,25.004898,0.601093649
7.85,0.148,4.62,4.02,2.136,1610,9.858821745,9.756159611,15.80405,891.2551,1895,7.107173,39540,92,102.734447,24.998222,0.74207511
7.45,0.0214,1.78,1.667,1.004,1818,9.858821541,9.756158893,15.77737,880.6311,1891,7.436059,39969,117,102.760848,24.971879,0.534720429
8,0.0238,2.13,1.872,0.673,4169,9.858822467,9.756157148,15.77737,880.6311,1890,7.436059,39969,105,102.7563,24.971105,1.074876656
7.09,0.0115,3,1.983,0.529,1372,9.858818957,9.756158885,15.82475,879.5682,1887,6.329208,42015,123,102.748846,24.967542,0.223194147
8.15,0.043,1.25,1.281,0.927,154,9.858817224,9.756162642,15.74001,883.6423,1886,3.751691,38157,90,102.746973,24.979403,0.296094897
7.95,0.0148,1.28,1.126,0.862,1818,9.858820152,9.756159661,15.73357,881.6371,1891,9.473599,41579,132,102.764827,24.973581,0.612512484
7.85,0.0198,1.43,1.25,0.631,1818,9.858822492,9.756158065,15.73357,881.6371,1891,9.473599,41579,142,102.765225,24.96912,0.479850407
7.7,0.144,4.69,3.662,1.804,1818,9.858821025,9.756159988,15.73357,881.6371,1891,9.473599,41579,128,102.766628,24.969077,2.685727251
8.11,0.0203,2.11,2.176,0.796,4554,9.858820135,9.756156261,15.74001,883.6423,1886,5.28196,38157,148,102.752588,24.977487,0.523477742
7.92,0.0163,1.61,1.53,1.117,4554,9.858822408,9.756162024,15.72758,886.2868,1886,5.28196,41178,118,102.756517,24.978145,0.587427982
7.87,0.0339,2.9,2.333,1.173,1250,9.858822784,9.75616239,15.90901,873.3453,1892,9.211171,42471,166,102.77061,24.945708,0.427256302
7.87,0.0228,1.85,1.418,0.81,1250,9.858821024,9.756155194,15.90901,873.3453,1891,9.211171,42471,146,102.769552,24.947455,0.362699493
7.57,0.0398,3.18,2.622,1.133,1250,9.858822483,9.756157903,15.87035,874.5193,1891,5.072753,42471,146,102.772854,24.946914,0.049140672
7.63,0.0537,2.46,2.319,0.944,1250,9.858820224,9.756161164,15.87035,874.5193,1891,5.072753,42471,101,102.77431,24.949046,4.400274862
7.86,0.0108,0.79,0.709,0.503,164,9.858821348,9.756149319,15.87824,870.5052,1895,6.261647,39573,84,102.782237,24.926932,0.083911173
7.87,0.0223,1.56,1.293,1.071,337,9.858822952,9.756168644,15.87824,870.5052,1895,6.693884,39573,157,102.784084,24.927401,1.326150834
7.32,0.0283,1.7,1.574,1.072,337,9.858821421,9.756159846,15.87824,870.5052,1898,6.693884,19525,158,102.786736,24.927645,3.700007994
7.58,0.0847,0.69,0.833,1.491,1871,10.24446488,7.549272627,15.85452,871.6917,1898,2.673075,19525,114,102.79293,24.928592,0.476442496
7.82,0.0471,2.09,2.033,1.106,791,10.2444542,7.549273695,15.80817,868.7438,1913,4.010117,19686,177,102.819875,24.896031,0.56520475
7.15,0.0583,3.27,2.482,1.331,791,10.24445414,7.5492739,15.80817,868.7438,1913,4.010117,19686,145,102.820762,24.894035,0.817019809
7.73,0.0214,2.15,2.296,1.49,791,10.24445553,7.549272675,15.78964,869.6182,1927,4.010117,19686,169,102.821457,24.891692,0.530595259
7.61,0.0318,2.4,2.133,1.461,630,10.24445521,7.549275112,15.80817,868.7438,1913,4.010117,19686,180,102.816229,24.893484,0.196021186
7.34,0.0681,2.39,2.045,1.635,366,10.24445659,7.549272468,15.78964,869.6182,1934,5.561308,21566,174,102.826509,24.88718,0.303733852
7.47,0.0585,2.07,1.772,1.355,366,10.24446293,7.549275465,15.78964,869.6182,1934,5.561308,21566,170,102.829346,24.884113,0.075297667
7.68,0.029,1.39,1.411,0.994,366,10.2444529,7.549274323,15.68567,869.4556,1941,5.561308,21566,202,102.832137,24.884838,0.597952943
7.11,0.0133,3.12,2.843,0.988,2793,10.24445408,7.549278558,15.69444,871.418,1932,6.470541,21739,172,102.8356,24.880006,1.011047068
7.58,0.024,4.14,4.024,1.197,2793,10.24445301,7.549268927,15.69444,871.418,1932,6.470541,21739,162,102.837608,24.879671,0.078217896
7.91,0.0262,2.77,2.207,1.266,333,10.24442792,7.549335785,15.64717,872.1882,1939,6.565224,22411,168,102.830357,24.853296,62.10248217
7.81,0.032,3.04,2.524,1.311,5458,10.2445252,7.549280939,15.67925,873.6548,1941,7.020054,14148,108,102.835116,24.849736,16.21171974
7.81,0.0242,1.83,1.437,1.217,166,10.24446511,7.549300808,15.76196,870.2194,1939,3.722746,14148,89,102.829063,24.849645,5.884415493
7.53,0.014,0.42,0.466,0.708,1967,10.24445818,7.549271077,15.80194,864.6584,1921,6.437528,7906,112,102.792299,24.78975,4.969655328
8.01,0.0327,1.06,0.833,1.102,1967,10.24445895,7.549268598,15.80194,864.6584,1921,5.224736,11892,92,102.794476,24.787468,1.359148457
8.07,0.0887,1.27,1.381,4.393,140,10.24446925,7.549288355,15.80112,863.7336,1925,5.224736,11892,96,102.795618,24.782453,1.822958535
7.52,0.185,1.66,2.009,5.126,140,10.24445502,7.549265044,15.80112,863.7336,1921,5.224736,11892,97,102.794718,24.780832,80.23844675
7.98,0.0343,2.28,1.803,0.926,16377,14.05473997,10.32028462,15.36803,922.7126,1896,7.124818,13998,105,103.796588,25.504755,1.10465682
